Indexcd,Idxtrd01,Idxtrd08
906,2007/1/15,
906,2007/1/16,3.0308
906,2007/1/17,-1.6888
906,2007/1/18,0.834
906,2007/1/19,3.4446
906,2007/1/22,4.1204
906,2007/1/23,0.5465
906,2007/1/24,1.0913
906,2007/1/25,-3.6418
906,2007/1/26,2.0171
906,2007/1/29,2.7379
906,2007/1/30,-0.7988
906,2007/1/31,-6.1829
906,2007/2/1,0.5591
906,2007/2/2,-3.5288
906,2007/2/5,-0.5946
906,2007/2/6,1.993
906,2007/2/7,2.1971
906,2007/2/8,1.7432
906,2007/2/9,-0.3278
906,2007/2/12,3.3563
906,2007/2/13,1.5801
906,2007/2/14,2.5016
906,2007/2/15,3.1105
906,2007/2/16,0.5073
906,2007/2/26,1.8312
906,2007/2/27,-9.1689
906,2007/2/28,3.7759
906,2007/3/1,-2.6316
906,2007/3/2,1.5154
906,2007/3/5,-0.9082
906,2007/3/6,1.389
906,2007/3/7,2.6995
906,2007/3/8,1.632
906,2007/3/9,-0.4327
906,2007/3/12,0.6968
906,2007/3/13,0.9765
906,2007/3/14,-1.3819
906,2007/3/15,1.8734
906,2007/3/16,-1.6255
906,2007/3/19,1.9604
906,2007/3/20,0.9225
906,2007/3/21,1.2714
906,2007/3/22,0.2585
906,2007/3/23,0.4681
906,2007/3/26,2.1191
906,2007/3/27,0.9774
906,2007/3/28,0.052
906,2007/3/29,-1.3335
906,2007/3/30,0.2364
906,2007/4/2,2.4181
906,2007/4/3,1.4107
906,2007/4/4,0.9188
906,2007/4/5,1.3024
906,2007/4/6,1.0902
906,2007/4/9,2.1162
906,2007/4/10,1.2269
906,2007/4/11,1.3385
906,2007/4/12,1.917
906,2007/4/13,-0.3894
906,2007/4/16,2.7956
906,2007/4/17,1.3805
906,2007/4/18,1.1467
906,2007/4/19,-4.9836
906,2007/4/20,4.6181
906,2007/4/23,4.4041
906,2007/4/24,0.5714
906,2007/4/25,-0.0484
906,2007/4/26,1.3016
906,2007/4/27,-0.5364
906,2007/4/30,2.2657
906,2007/5/8,3.8996
906,2007/5/9,0.3557
906,2007/5/10,0.6485
906,2007/5/11,-0.5519
906,2007/5/14,0.7895
906,2007/5/15,-3.4207
906,2007/5/16,2.7409
906,2007/5/17,2.2229
906,2007/5/18,0.0448
906,2007/5/21,1.8737
906,2007/5/22,1.3333
906,2007/5/23,2.0329
906,2007/5/24,-0.4174
906,2007/5/25,1.6815
906,2007/5/28,2.2496
906,2007/5/29,2.2364
906,2007/5/30,-7.1472
906,2007/5/31,-0.3512
906,2007/6/1,-4.198
906,2007/6/4,-7.9242
906,2007/6/5,2.9232
906,2007/6/6,1.4055
906,2007/6/7,3.8694
906,2007/6/8,1.1198
906,2007/6/11,2.4718
906,2007/6/12,2.6821
906,2007/6/13,2.4402
906,2007/6/14,-1.1203
906,2007/6/15,0.4588
906,2007/6/18,3.0551
906,2007/6/19,0.9592
906,2007/6/20,-2.4185
906,2007/6/21,0.5892
906,2007/6/22,-4.0415
906,2007/6/25,-4.8513
906,2007/6/26,1.4709
906,2007/6/27,2.7437
906,2007/6/28,-4.9989
906,2007/6/29,-2.9521
906,2007/7/2,0.2425
906,2007/7/3,1.9063
906,2007/7/4,-2.2913
906,2007/7/5,-5.7783
906,2007/7/6,5.196
906,2007/7/9,3.0745
906,2007/7/10,-1.5751
906,2007/7/11,0.5888
906,2007/7/12,0.6622
906,2007/7/13,-0.0311
906,2007/7/16,-3.2405
906,2007/7/17,2.4193
906,2007/7/18,0.4535
906,2007/7/19,0.0885
906,2007/7/20,4.2732
906,2007/7/23,4.7726
906,2007/7/24,0.1332
906,2007/7/25,2.3964
906,2007/7/26,1.3348
906,2007/7/27,0.5079
906,2007/7/30,2.2906
906,2007/7/31,1.1446
906,2007/8/1,-4.2091
906,2007/8/2,3.5866
906,2007/8/3,3.1886
906,2007/8/6,2.271
906,2007/8/7,0.164
906,2007/8/8,-1.303
906,2007/8/9,2.0508
906,2007/8/10,-1.2917
906,2007/8/13,-0.1872
906,2007/8/14,1.7702
906,2007/8/15,-0.0649
906,2007/8/16,-1.1192
906,2007/8/17,-1.8103
906,2007/8/20,5.2576
906,2007/8/21,1.6556
906,2007/8/22,1.5229
