Scode,Coname,ActlDt
1,平安银行,2002/4/19
1,平安银行,2002/8/14
1,平安银行,2003/4/24
1,平安银行,2003/4/24
1,平安银行,2003/8/20
1,平安银行,2003/10/29
1,平安银行,2004/4/15
1,平安银行,2004/8/31
1,平安银行,2004/10/23
1,平安银行,2005/4/26
1,平安银行,2005/4/26
1,平安银行,2005/8/19
1,平安银行,2005/10/29
1,平安银行,2006/4/1
1,平安银行,2006/4/26
1,平安银行,2006/8/18
1,平安银行,2007/3/22
1,平安银行,2007/4/26
1,平安银行,2007/8/16
1,平安银行,2007/10/23
1,平安银行,2008/3/20
1,平安银行,2008/4/24
1,平安银行,2008/8/21
1,平安银行,2008/10/24
1,平安银行,2009/3/20
1,平安银行,2009/4/24
1,平安银行,2009/8/21
1,平安银行,2009/10/29
1,平安银行,2010/3/12
1,平安银行,2010/4/29
1,平安银行,2010/8/25
1,平安银行,2010/10/28
1,平安银行,2011/2/25
1,平安银行,2011/4/27
1,平安银行,2011/8/18
1,平安银行,2011/10/26
1,平安银行,2012/3/9
1,平安银行,2012/4/26
1,平安银行,2012/8/16
1,平安银行,2012/10/26
1,平安银行,2013/3/8
1,平安银行,2013/4/24
1,平安银行,2013/8/23
1,平安银行,2013/10/23
1,平安银行,2014/3/7
1,平安银行,2014/4/24
1,平安银行,2014/8/14
1,平安银行,2014/10/24
1,平安银行,2015/3/13
1,平安银行,2015/4/24
1,平安银行,2015/8/14
1,平安银行,2015/10/23
1,平安银行,2016/3/10
1,平安银行,2016/4/21
1,平安银行,2016/8/12
1,平安银行,2016/10/21
1,平安银行,2017/3/17
1,平安银行,2017/4/22
1,平安银行,2017/8/11
1,平安银行,2017/10/21
1,平安银行,2018/3/15
1,平安银行,2018/4/20
1,平安银行,2018/8/16
1,平安银行,2018/10/24
1,平安银行,2019/3/7
1,平安银行,2019/4/24
2,万科A,2002/3/15
2,万科A,2002/8/21
2,万科A,2003/3/18
2,万科A,2003/7/29
2,万科A,2003/10/28
2,万科A,2004/3/9
2,万科A,2004/4/19
2,万科A,2004/8/6
2,万科A,2004/10/28
2,万科A,2005/3/22
2,万科A,2005/4/25
2,万科A,2005/8/1
2,万科A,2005/10/31
2,万科A,2006/3/21
2,万科A,2006/4/25
2,万科A,2006/8/1
2,万科A,2006/10/31
2,万科A,2007/3/20
2,万科A,2007/4/30
2,万科A,2007/8/28
2,万科A,2007/10/30
2,万科A,2008/3/21
2,万科A,2008/4/25
2,万科A,2008/8/5
2,万科A,2008/10/28
2,万科A,2009/3/10
2,万科A,2009/4/27
2,万科A,2009/8/4
2,万科A,2009/10/26
2,万科A,2010/3/2
2,万科A,2010/4/27
2,万科A,2010/8/10
2,万科A,2010/10/25
2,万科A,2011/3/8
2,万科A,2011/4/20
2,万科A,2011/8/9
2,万科A,2011/10/25
2,万科A,2012/3/13
2,万科A,2012/4/24
2,万科A,2012/8/7
2,万科A,2012/10/24
2,万科A,2013/2/28
2,万科A,2013/4/23
2,万科A,2013/8/7
2,万科A,2013/10/30
2,万科A,2014/3/7
2,万科A,2014/4/29
2,万科A,2014/8/18
