Scode,Coname,ActlDt
600406,国电南瑞,2004/7/31
600406,国电南瑞,2004/10/12
600406,国电南瑞,2005/3/8
600406,国电南瑞,2005/4/12
600406,国电南瑞,2005/7/19
600406,国电南瑞,2005/10/20
600406,国电南瑞,2006/2/28
600406,国电南瑞,2006/4/18
600406,国电南瑞,2006/8/1
600406,国电南瑞,2006/10/27
600406,国电南瑞,2007/2/6
600406,国电南瑞,2007/4/16
600406,国电南瑞,2007/8/14
600406,国电南瑞,2007/10/20
600406,国电南瑞,2008/1/25
600406,国电南瑞,2008/4/15
600406,国电南瑞,2008/8/13
600406,国电南瑞,2008/10/24
600406,国电南瑞,2009/2/17
600406,国电南瑞,2009/4/13
600406,国电南瑞,2009/7/23
600406,国电南瑞,2009/10/15
600406,国电南瑞,2010/1/28
600406,国电南瑞,2010/4/26
600406,国电南瑞,2010/8/31
600406,国电南瑞,2010/10/28
600406,国电南瑞,2011/1/29
600406,国电南瑞,2011/4/25
600406,国电南瑞,2011/8/5
600406,国电南瑞,2011/10/25
600406,国电南瑞,2012/2/2
600406,国电南瑞,2012/4/25
600406,国电南瑞,2012/8/8
600406,国电南瑞,2012/10/26
600406,国电南瑞,2013/3/28
600406,国电南瑞,2013/4/18
600406,国电南瑞,2013/8/23
600406,国电南瑞,2013/10/26
600406,国电南瑞,2014/3/28
600406,国电南瑞,2014/4/29
600406,国电南瑞,2014/8/23
600406,国电南瑞,2014/10/28
600406,国电南瑞,2015/3/28
600406,国电南瑞,2015/4/29
600406,国电南瑞,2015/8/25
600406,国电南瑞,2015/10/23
600406,国电南瑞,2016/4/5
600406,国电南瑞,2016/4/27
600406,国电南瑞,2016/8/25
600406,国电南瑞,2016/10/25
600406,国电南瑞,2017/3/30
600406,国电南瑞,2017/4/29
600406,国电南瑞,2017/7/29
600406,国电南瑞,2017/10/28
600406,国电南瑞,2018/4/19
600406,国电南瑞,2018/4/28
600406,国电南瑞,2018/8/28
600406,国电南瑞,2018/10/30
600406,国电南瑞,2019/4/29
600406,国电南瑞,2019/4/29
600408,ST安泰,2003/4/29
600408,ST安泰,2003/10/16
600408,ST安泰,2004/4/9
600408,ST安泰,2004/4/28
600408,ST安泰,2004/8/19
600408,ST安泰,2004/10/25
600408,ST安泰,2005/1/29
600408,ST安泰,2005/4/15
600408,ST安泰,2005/8/9
600408,ST安泰,2005/10/29
600408,ST安泰,2006/3/4
600408,ST安泰,2006/4/29
600408,ST安泰,2006/7/29
600408,ST安泰,2006/10/28
600408,ST安泰,2007/2/15
600408,ST安泰,2007/4/27
600408,ST安泰,2007/8/22
600408,ST安泰,2007/10/25
600408,ST安泰,2008/2/2
600408,ST安泰,2008/4/15
600408,ST安泰,2008/8/15
600408,ST安泰,2008/10/31
600408,ST安泰,2009/3/7
600408,ST安泰,2009/4/30
600408,ST安泰,2009/8/31
600408,ST安泰,2009/10/31
600408,ST安泰,2010/4/28
600408,ST安泰,2010/8/30
600408,ST安泰,2010/10/22
600408,ST安泰,2011/3/18
600408,ST安泰,2011/4/25
600408,ST安泰,2011/8/24
600408,ST安泰,2011/10/25
600408,ST安泰,2012/4/20
600408,ST安泰,2012/8/25
600408,ST安泰,2012/10/27
600408,ST安泰,2013/4/20
600408,ST安泰,2013/8/24
600408,ST安泰,2013/10/26
600408,ST安泰,2014/4/26
600408,ST安泰,2014/8/22
600408,ST安泰,2014/10/25
600408,ST安泰,2015/4/30
600408,ST安泰,2015/7/31
600408,ST安泰,2015/10/31
600408,ST安泰,2016/3/5
600408,ST安泰,2016/4/30
600408,ST安泰,2016/8/16
600408,ST安泰,2016/10/29
600408,ST安泰,2017/1/25
600408,ST安泰,2017/4/29
600408,ST安泰,2017/8/31
600408,ST安泰,2017/10/27
600408,ST安泰,2018/4/21
600408,ST安泰,2018/4/21
600408,ST安泰,2018/8/11
600408,ST安泰,2018/10/27
600408,ST安泰,2019/3/22
600408,ST安泰,2019/4/27
600409,三友化工,2003/8/8
600409,三友化工,2004/3/23
600409,三友化工,2004/4/26
600409,三友化工,2004/8/10
600409,三友化工,2004/10/28
600409,三友化工,2005/3/22
600409,三友化工,2005/4/16
600409,三友化工,2005/8/6
600409,三友化工,2005/10/21
600409,三友化工,2006/3/22
600409,三友化工,2006/4/25
600409,三友化工,2006/8/8
600409,三友化工,2006/10/26
600409,三友化工,2007/3/2
600409,三友化工,2007/4/17
600409,三友化工,2007/8/1
600409,三友化工,2007/10/18
600409,三友化工,2008/4/22
600409,三友化工,2008/7/28
600409,三友化工,2008/10/15
600409,三友化工,2009/2/16
600409,三友化工,2009/4/29
600409,三友化工,2009/7/30
600409,三友化工,2009/10/29
600409,三友化工,2010/3/9
600409,三友化工,2010/4/27
600409,三友化工,2010/8/2
600409,三友化工,2010/10/30
600409,三友化工,2011/2/28
600409,三友化工,2011/4/19
600409,三友化工,2011/7/29
600409,三友化工,2011/10/15
600409,三友化工,2012/4/26
600409,三友化工,2012/8/9
600409,三友化工,2012/10/23
600409,三友化工,2013/2/28
600409,三友化工,2013/4/10
600409,三友化工,2013/8/13
600409,三友化工,2013/10/30
600409,三友化工,2014/3/29
600409,三友化工,2014/4/25
600409,三友化工,2014/8/29
600409,三友化工,2014/10/31
600409,三友化工,2015/4/28
600409,三友化工,2015/8/26
600409,三友化工,2015/10/29
600409,三友化工,2016/4/28
600409,三友化工,2016/8/9
600409,三友化工,2016/10/22
600409,三友化工,2017/4/13
600409,三友化工,2017/4/26
600409,三友化工,2017/8/8
600409,三友化工,2017/10/27
600409,三友化工,2018/4/12
600409,三友化工,2018/4/27
600409,三友化工,2018/8/24
600409,三友化工,2018/10/30
600409,三友化工,2019/4/25
600409,三友化工,2019/4/25
600410,华胜天成,2004/4/22
600410,华胜天成,2004/8/30
600410,华胜天成,2004/10/29
600410,华胜天成,2005/3/24
600410,华胜天成,2005/4/29
600410,华胜天成,2005/8/18
600410,华胜天成,2005/10/26
600410,华胜天成,2006/3/11
600410,华胜天成,2006/4/28
600410,华胜天成,2006/8/28
600410,华胜天成,2006/10/30
600410,华胜天成,2007/3/13
600410,华胜天成,2007/4/27
600410,华胜天成,2007/8/28
600410,华胜天成,2007/10/30
600410,华胜天成,2008/3/28
600410,华胜天成,2008/4/23
600410,华胜天成,2008/8/12
600410,华胜天成,2008/10/30
600410,华胜天成,2009/3/18
600410,华胜天成,2009/4/27
600410,华胜天成,2009/8/13
600410,华胜天成,2009/10/31
600410,华胜天成,2010/4/15
600410,华胜天成,2010/4/27
600410,华胜天成,2010/8/30
600410,华胜天成,2010/10/29
600410,华胜天成,2011/3/15
600410,华胜天成,2011/4/29
600410,华胜天成,2011/8/24
600410,华胜天成,2011/10/29
600410,华胜天成,2012/4/11
600410,华胜天成,2012/4/27
600410,华胜天成,2012/8/29
600410,华胜天成,2012/10/30
600410,华胜天成,2013/4/12
600410,华胜天成,2013/4/25
600410,华胜天成,2013/8/30
600410,华胜天成,2013/10/30
600410,华胜天成,2014/4/10
600410,华胜天成,2014/4/24
600410,华胜天成,2014/8/26
600410,华胜天成,2014/10/30
600410,华胜天成,2015/4/10
600410,华胜天成,2015/4/28
600410,华胜天成,2015/8/28
600410,华胜天成,2015/10/28
600410,华胜天成,2016/4/8
600410,华胜天成,2016/4/27
600410,华胜天成,2016/8/26
600410,华胜天成,2016/10/28
600410,华胜天成,2017/4/20
600410,华胜天成,2017/4/28
600410,华胜天成,2017/8/29
600410,华胜天成,2017/10/20
600410,华胜天成,2018/4/20
600410,华胜天成,2018/4/28
600410,华胜天成,2018/8/18
600410,华胜天成,2018/10/26
600410,华胜天成,2019/4/19
600410,华胜天成,2019/4/25
600415,小商品城,2002/8/3
600415,小商品城,2002/10/22
600415,小商品城,2003/1/25
600415,小商品城,2003/4/30
600415,小商品城,2003/7/12
600415,小商品城,2003/10/18
600415,小商品城,2004/1/16
600415,小商品城,2004/4/23
600415,小商品城,2004/7/31
600415,小商品城,2004/10/22
600415,小商品城,2005/3/22
600415,小商品城,2005/4/23
600415,小商品城,2005/7/30
600415,小商品城,2005/10/31
600415,小商品城,2006/4/28
600415,小商品城,2006/4/28
600415,小商品城,2006/7/18
600415,小商品城,2006/10/30
600415,小商品城,2007/4/3
600415,小商品城,2007/4/30
600415,小商品城,2007/8/22
600415,小商品城,2007/10/23
600415,小商品城,2008/4/2
600415,小商品城,2008/4/29
600415,小商品城,2008/7/26
600415,小商品城,2008/10/28
600415,小商品城,2009/4/24
600415,小商品城,2009/4/29
600415,小商品城,2009/7/20
600415,小商品城,2009/10/15
600415,小商品城,2010/3/24
600415,小商品城,2010/4/21
600415,小商品城,2010/8/31
600415,小商品城,2010/10/30
600415,小商品城,2011/4/20
600415,小商品城,2011/4/30
600415,小商品城,2011/8/27
600415,小商品城,2011/10/25
600415,小商品城,2012/3/12
600415,小商品城,2012/4/19
600415,小商品城,2012/8/16
600415,小商品城,2012/10/18
600415,小商品城,2013/3/22
600415,小商品城,2013/4/23
600415,小商品城,2013/8/10
600415,小商品城,2013/10/15
600415,小商品城,2014/4/19
600415,小商品城,2014/4/30
600415,小商品城,2014/7/24
600415,小商品城,2014/10/18
600415,小商品城,2015/3/28
600415,小商品城,2015/4/30
600415,小商品城,2015/8/31
600415,小商品城,2015/10/22
600415,小商品城,2016/3/30
600415,小商品城,2016/4/21
600415,小商品城,2016/8/27
600415,小商品城,2016/10/18
600415,小商品城,2017/3/30
600415,小商品城,2017/4/29
600415,小商品城,2017/8/26
600415,小商品城,2017/10/17
600415,小商品城,2018/4/11
600415,小商品城,2018/4/21
600415,小商品城,2018/8/22
600415,小商品城,2018/10/20
600415,小商品城,2019/4/26
600415,小商品城,2019/4/26
600416,湘电股份,2002/8/14
600416,湘电股份,2002/10/22
600416,湘电股份,2003/3/11
600416,湘电股份,2003/4/15
600416,湘电股份,2003/8/19
600416,湘电股份,2004/3/16
600416,湘电股份,2004/4/20
600416,湘电股份,2004/7/27
600416,湘电股份,2004/10/19
600416,湘电股份,2005/2/4
600416,湘电股份,2005/4/19
600416,湘电股份,2005/7/22
600416,湘电股份,2005/10/18
600416,湘电股份,2006/2/28
600416,湘电股份,2006/4/20
600416,湘电股份,2006/8/15
600416,湘电股份,2006/10/23
600416,湘电股份,2007/4/3
600416,湘电股份,2007/4/24
600416,湘电股份,2007/7/31
600416,湘电股份,2007/10/25
600416,湘电股份,2008/4/1
600416,湘电股份,2008/4/19
600416,湘电股份,2008/8/21
600416,湘电股份,2008/10/24
600416,湘电股份,2009/3/20
600416,湘电股份,2009/4/23
600416,湘电股份,2009/7/31
600416,湘电股份,2009/10/28
600416,湘电股份,2010/2/10
600416,湘电股份,2010/4/23
600416,湘电股份,2010/8/31
600416,湘电股份,2010/10/26
600416,湘电股份,2011/4/28
600416,湘电股份,2011/8/22
600416,湘电股份,2011/10/19
600416,湘电股份,2012/3/28
600416,湘电股份,2012/4/26
600416,湘电股份,2012/8/21
600416,湘电股份,2012/10/30
600416,湘电股份,2013/4/26
600416,湘电股份,2013/7/31
600416,湘电股份,2013/10/31
600416,湘电股份,2014/4/23
600416,湘电股份,2014/4/30
600416,湘电股份,2014/8/5
600416,湘电股份,2014/10/31
600416,湘电股份,2015/4/24
600416,湘电股份,2015/4/30
600416,湘电股份,2015/7/31
600416,湘电股份,2015/10/31
600416,湘电股份,2016/2/25
600416,湘电股份,2016/4/30
