permno,pilu,date,cumret,group
2383,1,2016-03-22,0.7978176350656658,1
2655,1,2016-02-29,0.80829708578179,1
2494,1,2016-03-01,0.8156705588464258,1
2575,1,2016-02-29,0.826977769096368,1
676,1,2016-03-01,0.854472873895631,1
2727,1,2016-02-29,0.861945255211111,1
2776,1,2016-02-03,0.867834614334833,1
514,1,2016-03-10,0.868442506978432,1
2618,1,2016-04-22,0.8688230270429929,1
2014,1,2016-02-04,0.8768302932324399,1
600763,1,2016-03-03,0.883726608758975,1
600634,1,2016-04-21,0.8839310965793828,1
600816,1,2016-01-18,0.885044498310417,1
2487,1,2016-02-29,0.88564651369121,1
2103,1,2016-03-29,0.885987103282115,1
2181,1,2016-04-22,0.889327092323761,1
300191,1,2016-02-29,0.889987140830487,1
600969,1,2016-04-21,0.892220421350032,1
300381,1,2016-04-22,0.8933664956343509,1
600582,1,2016-03-29,0.894689097834138,1
603398,1,2016-04-20,0.894783287664462,1
600967,1,2016-03-02,0.8950859982448851,1
2537,1,2016-03-10,0.8971717067306461,1
600200,1,2016-03-16,0.899964,1
600687,1,2016-03-16,0.9006779472359658,1
678,1,2016-04-21,0.9014615060879999,1
600359,1,2016-04-22,0.9027379999999999,1
2360,1,2016-03-29,0.9036021436668441,1
2273,1,2016-04-08,0.903781375115625,1
300014,1,2016-02-29,0.903965686874763,1
601969,1,2016-03-29,0.9044770141387259,1
2468,1,2016-03-02,0.906204186302961,1
2745,1,2016-02-29,0.906636998936712,1
300067,1,2016-03-25,0.906786008348339,1
2356,1,2016-03-15,0.907666013962833,1
600787,1,2016-03-16,0.908290267693206,1
2227,1,2016-04-21,0.9097475808065849,1
600880,1,2016-04-20,0.909946713978981,1
300009,1,2016-03-03,0.910237367421427,1
300178,1,2016-04-21,0.9110801078016129,1
2722,1,2016-04-21,0.911601249242068,1
603678,1,2016-02-29,0.911907177470063,1
2716,1,2016-03-25,0.9120448584155559,1
300233,1,2016-02-26,0.9122359850484391,1
600764,1,2016-02-02,0.913523394781591,1
600336,1,2016-03-31,0.914557097505697,1
2022,1,2016-04-20,0.9148460144228729,1
2780,1,2016-04-21,0.916095550174768,1
600084,1,2016-04-20,0.91624252745766,1
600156,1,2016-04-20,0.916596303865027,1
300175,1,2016-02-26,0.9168761555590519,1
601996,1,2016-03-30,0.9222206268705079,1
18,1,2016-04-15,0.9224179369676361,1
603508,1,2016-04-18,0.922806529429991,1
2114,1,2016-03-09,0.9231938623270659,1
300100,1,2016-04-13,0.924179787179662,1
600243,1,2016-04-21,0.9253371218426609,1
600481,1,2016-04-22,0.9256351288194,1
300270,1,2016-04-20,0.92638,1
2698,1,2016-04-20,0.92653402385518,1
300403,1,2016-03-16,0.9269955562067809,1
600077,1,2016-03-11,0.9272466260479509,1
2552,1,2016-04-08,0.9280944699914101,1
600586,1,2016-04-25,0.9281290564953381,1
600917,1,2016-04-06,0.928249210704024,1
300179,1,2016-04-20,0.928416,1
601857,1,2016-03-24,0.9287560796553409,1
2036,1,2016-04-20,0.929891,1
300077,1,2016-03-02,0.930276165628028,1
300457,1,2016-03-11,0.930439188436439,1
601010,1,2016-04-20,0.9305621232825629,1
600096,1,2016-03-15,0.9311194211893878,1
600267,1,2016-04-08,0.9311254768114309,1
300088,1,2016-04-15,0.932014318060925,1
650,1,2016-04-20,0.932084895780631,1
2048,1,2016-04-20,0.932132,1
300291,1,2016-03-29,0.9322240315153101,1
